,Leave or Remain or Neutral/News,description,screen_name,name,location,text,allies
160,L,"Award winning Columnist, Satirist, Comedian and Libertarian legend. Champion of Free Speech. All Tweets pre censored by Twitter. All Tweets expire after 7 days.",Holbornlolz,Old Holborn ✘,Old Holbornistan,"""Blaaahdy foreigners, telling us what to do. oh, Vote #Remain"" 

https://t.co/yVI4D3nL9q","['LBC_Charlotte', 'HealeyCartoons', 'CEO4TAG', 'BMF_Bund']"
161,N,British buzz. Tweets by @andydangerfield and @maggyvaneijk. Find us on Facebook: https://www.facebook.com/BuzzFeedUK,BuzzFeedUK,BuzzFeed UK,London,"Is the result binding? When will it end? Your questions about the #EURef answered
https://t.co/IlUXE9pmls https://t.co/CwkIXYPSU1","['janinegibson', 'AlbertoNardelli']"
162,R,"Chairman & Founder @robertsbridge, helping clients profit from sustainability & smarter communications. No idea who else's views they'd be. Love music.",bmay,Brendan May,UK & too many planes,"Just a quick reminder for waverers. Boris is one too. 

#VoteRemain #StrongerIn #EUref https://t.co/MbUX4XHv7w","['PaulPolman', 'tompeck', 'andymoz78', 'TonyJuniper', 'UKIPNFKN', 'adamboultonSKY', 'StrongerInPress', 'jk_rowling', 'costofcameron']"
163,R,,Arron_banks,Arron Banks,,She is a professional trade unionist on a Â£100k a year who's never had a proper job. https://t.co/gGEeolpD5g,"['AMDWaters', 'LeaveEUOfficial', 'paulnuttallukip', 'JTruscott5040', 'simplysimontfa', 'VictoriaLIVE', 'richjamesuk', 'dobbs_michael', 'PaulBrothwood', 'Meliden', 'terrylawes', 'DRoberts44', 'EUAreKidding', 'RaheemKassam', 'Akabilky', 'LouiseMensch', 'SteveBakerHW', 'DavidTCDavies']"
164,N,"Top and breaking news, pictures, and videos from Reuters.",Reuters,Reuters Top News,Around the world,"#EURef: Call it Trumpism, minus just one thing. Trump. https://t.co/Ir0pGXujz0 https://t.co/lxXbLiw7Jw","['ReutersBiz', 'ReutersPolitics', 'ReutersUK']"
165,R,Live updates from #MSF projects assisting #migrants and #refugees in #Europe and on the #Mediterranean and #Aegean Seas RT≠ endorsement,MSF_Sea,MSF Sea,Mediterranean Sea,"The Member States agreed to relocate 66,400 #refugees from Greece to elsewhere in #Europe. They've taken just 1,629. https://t.co/LyuKaZ6dva",[]
166,R,"Interested in dialogue, education and current affairs.",HelenMagi,Helen,,#BBCDebate #Remain https://t.co/Nw4WuG6reU,"['StrongerInPress', 'Wesmondshire']"
167,R,"Assistant Mayor of Liverpool. Cabinet Member for Education, Employment & Skills. @LiverpoolLabour councillor for Central Ward. @GMB_union member.",CllrNickSmall,Nick Small,Liverpool,Tomorrow's Daily Mirror front page #VoteRemain for our future https://t.co/HqyYMPBnV3,['saf0113']
168,L,UKIP in Vote Leave - campaigning for a 'leave' vote in the upcoming EU referendum. Contact: UKIP@voteleave.uk,VoteLeaveUKIP,Vote Leave (UKIP),,"Great positive, polite and assured performance from @AndreaLeadsom tonight #BBCDebate #VoteLeave  https://t.co/VRLJ2bkvIw","['oflynnmep', 'vote_leave', 'SuzanneEvans1', 'Johnny_Shilton']"
169,R,"Member @UKHouseofLords Pro Vice Ch @BoltonUni Visiting Prof @YourStMarys Conservative Party Chairman 2010-12 Foreign Minister 2012-14 Cars, Cricket & Cooking",SayeedaWarsi,Sayeeda Warsi,Heart is always in Yorkshire,"Thought I'd share this email from Marc, one of the many emails I received from those voting #leave #MoreInCommon https://t.co/K8YMYNKbAN",['SkyNews']
170,L,Fighting for #Brexit & offering #ProjectHope with #VoteLeave Join @vote_leave,StrongerOut,Stronger Out,,Senior defence chief Lord Guthrie switches sides in Brexit battle https://t.co/nRPE66VGSx #BBCDebate #VoteLeave &amp; #TakeControl,"['vote_leave', 'JuliaHB1', 'MSmithsonPB', 'montie', 'andrealeadsom', 'Vote_LeaveMedia']"
171,L,Proud to be British.  Right of centre. Pro-Monarchy.  Anti-EU.  Anti-Racist. NeoCon.,chrisg0000,chris g,Lancashire,"Michael Gove on the latest bit of EU interference...

#Paxman
#VoteLeave https://t.co/qo4tH6ZXIc",['oflynnmep']
172,L,#Brexit Twitter account of David Jones MP: supporting @vote_leave in the fight for a stronger Britain outside the EU. Retweets are not endorsements.,BrexitInJune,David Jones MP,"3, Llewelyn Road, Colwyn Bay","Well said, Boris; Remain side is all #ProjectFear #BBCDebate","['vote_leave', 'Vote_LeaveMedia']"
173,N,"Historian, leader writer for the Daily Telegraph, contributing editor for the Catholic Herald. Opinions my own.",timothy_stanley,Tim Stanley,London/Washington DC,Max Factor's profits dipped that week  https://t.co/kudpoMkxO3,"['pmdfoster', 'OnPointRadio', 'suttonnick', 'fleetstreetfox']"
174,L,"PRO Europe anti e.u, Ex Lifelong labour now UKIP .tolerant to most .CAPS WHEN VIZ VIZ IMPAIRMENT REQUIRES",BeverleyTruth,Beverley #BREXIT,"EAST YORKSHIRE , ENGLAND",BACKED BY E.U ..ANOTHER STATE FOR THE EUSSR .. WHOS BORDERS RUN ALONG RUSSIA WITH USA BASES ALL ALONG IT #BREXIT https://t.co/GqwP9BvYTh,"['RoyalNavyNews', 'Linda_b_123', 'Juliet777777', 'helen_downing', 'dr_asifmirza', 'BeverleyTruth', 'puffin1952', 'LYNDA270833', 'manwithamop', 'w0rldlyw1se', 'flyingfury1940', '55Massey', 'NickGriffinBU', 'CraigofOldham', 'PaveDarker', 'vote_leave', 'patsybessBess', 'SamanthaLouize7', 'tudorrose16', 'Baader_Meinhof', 'ScotsVoteLeave', 'DugaldMacMillan', 'liarpoliticians', 'HenrySmithMP', 'PennyMidasRollo', 'cordeiro876', 'hull_leave', 'Amathyst25', 'TraceyBosworth', 'WritingSupplier', 'realtsuke', 'JulesSunbeam', 'Fight4UK', 'ExposingBBC', 'duks44', 'Ironwand', 'TommyAtkins2016', 'TheHappyKipper', 'PoliticsSense', 'Rapotter', 'Lin_121', 'Camron_London', 'DamainWard', 'Rulesthewaves', 'geoffers74', 'evolvedprimate0']"
175,R,Filmmaker. Co-Founder with Anne Daly of award winning Esperanza Productions. Latest film: Mothers Against the Odds - filmed in Kenya and Ireland,RonanLTynan,Ronan Tynan,London and Dublin,#BBCdebate #Boris sounds v weak is b/c caught out by brilliant case he sincerely made for #remain up to few weeks ago? #DontRiskIt #Remain,['barbycottontail']
176,R,"Exposing BBC bias. The BBC are PC, Leftist, Pro EU, Pro Muslim biased dissemblers and at best peddling half truths...Savile's willing accomplice",ExposingBBC,BBC Pro EU Bias,Italy,"EXCLUSIVE: Notorious Anjem Choudary Backs 'Remain' –Â Says EU Courts Are Softer On His Islamist Friends 
https://t.co/vhNplh7ZK7 #Brexit","['AFrankWords', 'vote_leave', 'Telegraph', 'YoungBeleavers', 'rob83c', 'SuzanneEvans1', 'LouiseMensch', 'Dwalingen', 'rorybroomfield']"
177,R,Labour MP for the Rhondda,RhonddaBryant,Chris Bryant MP,,"So Leadsom and Leave won't say whether they will give the Â£600,000 given by former BNP member back. Project Hate. #StrongerIn","['mcashmanCBE', 'wdjstraw', 'victoriabeckham', 'StrongerIn', 'UKLabour', 'MirrorPolitics', 'welshlabour', 'RebeccaFront', 'bmehtaUK', 'JamesMelville', 'AlanOlive1']"
178,R,"A global civic movement connecting over 43 million citizens worldwide, bringing people-powered politics to decision-making everywhere. (Press: @Avaaz_News)",Avaaz,Avaaz,Worldwide ,"""You're being asked to make a decision that's irreversible""...""and you're being sold it on a lie"" @RuthDavidsonMSP #BBCdebate #Brexit #EUref","['EmWatson', 'JakubKrupa', 'SadiqKhan', 'StrongerIn']"
179,L,"UKIP MEP for North West England, UKIP Deputy Leader. RT not necessarily an endorsement.",paulnuttallukip,Paul Nuttall,,Great support for Brexit out in Wigan town centre. #projectfact https://t.co/IlLeoe1K1D,[]
180,N,"Friend of animals everywhere. Internet ninja. Twitter fan. Coffee evangelist.
 #bbcworld",bbcwnews365,BBC News (World),,,['BBCNews']
181,N,We are an independent body set up by the UK Parliament. Our aim is integrity and public confidence in the democratic process.,ElectoralCommUK,Electoral Commission,UK wide,Ensure your #EURef vote is counted – do not put anything other than ONE cross in ONE box. More essential info at https://t.co/ujsLe2oBLx,[]
182,N,An independent news and commentary website produced by academics and journalists. Free to read and republish.,ConversationUK,The Conversation,London,#Brexit: Help for farmers would be gradually reduced each year – but subsidies wouldn't disappear overnight https://t.co/AOtrdOUCzT,"['LaHoo', 'AndrewCrines', 'ScottLucas_EA', 'DGDimitrakop', 'CairneyPaul']"
183,L,"You must realize that fear is not real.  It's a product of thoughts you create.  Now do not misunderstand me, danger is very real. But fear is a choice.",VvsTyranny,V4Vendetta,"South West, England",Camoron lied again! #Brexit  #Cameron 'told migration target was impossible four years ago' https://t.co/7YAl5Rk4EB,['theordinaryman2']
184,L,"Sky News founder member and journalist. Author. Dog lover. Proud mum. More than one million minutes of presenting live TV - and counting.
Facebook: KayBurleySky",KayBurley,Kay Burley,London,"I think the clapometer may suggest a new contender for the 'most popular politician crown', Tim ðŸ˜Š https://t.co/MklBMeXNzJ","['SkyNews', 'roddymansfield', 'yvonneredmond']"
185,L,"CEO of The Freedom Association. Co-founder of @BetterOffOut Likes freedom, tolerance & fairness; dislikes statism, intolerance & British subservience to the EU.",simplysimontfa,Simon Richards,"Cheltenham, Gloucestershire","Please watch this great, short ((2 minute) video and retweet: Vote for Hope https://t.co/PiVGypGbNi via @YouTube #Brexit #EUref","['adamhamdy', 'vote_leave', 'Dwalingen', 'TheLadBible', 'dobbs_michael', 'NadineDorriesMP', 'ExposingBBC', 'DominicFarrell', 'Vote_LeaveMedia', 'LouiseMensch', 'montie', 'Leavethe_EU', 'nickdebois', 'uniforbritain', 'thierrybaudet', 'Mike_Fabricant', 'sarahjanesewell', 'cmackinlay', 'oflynnmep', 'rorybroomfield', 'VoteLeaveUKIP', 'lawyers4britain', 'ThomasEvansGB', 'BBCNews', 'geraldhowarth', 'Fight4UK', 'SarahAFC69', 'TellRanil', 'NathanGillMEP', 'LiamFoxMP', 'juliamacfarlane', 'OutandProudUK', 'MdDeactivated']"
186,L,Libertarian for #Trump2016. #AmericaFirst  #Brexit,FiveRights,Philip Schuyler,,"Scarily revealing that Mayor Khan could not even wait 2 wks (till after #Brexit vote) to launch his ""no bare arms or legs in ads"" campaign.","['LeaveEUOfficial', 'V_of_Europe', 'NetworksManager']"
187,R,Visit http://www.UKtoStay.eu to support the campaign for the #UKtoStay in the #EU! We're helping people #GetTheFacts on the #UK in the #EU.,uktostayeu,UKtoStay in the EU,United Kingdom,"Winston Churchill's grandson, Conservative MP Nicholas Soames, wants the #UKtoStay in the #EU: https://t.co/1czPOcgZFw #EUref #StrongerIN","['CarolineLucas', 'wdjstraw', 'Untidy_mind', 'AndrewAtter', 'MerleCrichton', 'WildlifeTrusts', 'InFactsOrg', 'Students4Europe', 'JPJmedia', 'EK_EuropeanMove', 'HBaldwinMP', 'EmWatson', 'HouseOfHolland', 'Harryslaststand', 'pleasedontgouk', 'NewEuropeans', 'simonjhix', 'DanielJLayton', 'FullFact', 'sbabs90', 'theresecoffey', 'UKandEU', ""amp; debunk the myth #EU is corrupt &amp; doesn't get accounts audited"", 'EuroVote2016', 'RonanLTynan', 'LibDems', 'TheGreenParty', 'CarnivoreSci']"
188,R,The official Twitter feed of Labour In For Britain - our campaign to remain in the European Union. #LabourInForBritain,UKLabourIN,LabourInForBritain,"London, England","In just 36 hours, we'll be heading to the ballot box to vote Remain. If you're with us, share this â†“ #EUref https://t.co/vyU9jsaYgd","['UKLabour', 'akhanmep', 'VirendraSharma', 'JackDromeyMP', 'waheedsaleem', 'GSinnott85', 'ChukaUmunna']"
189,L,There is only one way to get the change we want. #VoteLeave #June23,ukleave_eu,#LeaveEU #Brexit #GO,United Kingdom,WW2 vets public letter to voters urges them to vote Leave in Thursday’s #EUref and reject “undemocratic” Brussels https://t.co/21ufN1LBpF,"['leftforexit', 'ukleave_eu', 'rburns @annofarabia @Jemsec @AndiNeglia @BBCNews #VoteLeave #June23 https', 'lee_branch', 'rockcoopers', 'DDawn0', 'Foresight1st', 'tinkerpuss', 'rockiemoney', 'MarkEng30768932', 'Skibum170', 'RoyalNavyNews', 'franz_nand', 'tj1969t', 'The_flat_issue', 'AmeRoSharky', 'englishbythegog', 'ProfRayKinsella', 'MICHAEL13056654', 'jjws', 'ktf1965', 'DanburyPark', 'jim_slip', 'BraisbyI', 'BeresfordAuthor', 'Woogenbury', 'DisparatePost', 'BobsGutters', 'burdon57', 'AudiA3Cab', 'LeaveTheEU2016', 'jeffmas1', 'nikkinooigotu', 'lyanne211281', 'DonNantwich', 'ShoutoutNowTeam', 'Rach_el_c', 'LouiseMensch', 'Australiaunwra6', 'LboroNO2EU', 'InstantlyU', 'Stop_The_EU', 'WeDoNotLearn73', 'LondonCabby1965', 'CllrBSilvester', 'PatrioticNeko', 'WhiteWednesday', 'sadmanonthehill', 'DVATW', 'MdDeactivated', 'liarpoliticians', 'latimeralder', 'mrDesStewart', 'LeaveEUOfficial', 'GouldSam', 'BrexitNoww', 'bernerlap', 'media_list', 'TheWarOfNow', 'purpperil', 'h8kes', 'ThomasEvansGB', 'Paradox321', 'uniforbritain', 'Bootfit', 'JasonBrownYork', 'kingsbury_bob', 'ExxCee', 'Marty_Caine', 'ProWhites', 'Beefy_Sheep', 'beastieboy66', 'Traditionalist4', 'lphanlon84', 'dcreesy', 'omowunmi_la', 'Hammertime983', 'PinnochioTory', 'gupta_james', 'Taleof2Treaties', 'ScottieKaye', 'akaraum', 'JasonBrexit', 'connor_audrey', 'mrharoldsaxon', 'Jo_Ozymandias', 'kenhordonukip', 'TheHappyKipper', 'jiks', 'Hfrancey11', 'KingHarold1', 'PoliticsSense', 'DanielVianaR', 'David_Scutt', 'DrHotelMario', 'spencedanny', 'HannahMcNeish', 'MrRed1865', 'StephenBonfield', 'Hellstorm901', 'LeaveJune23', 'JamesKnightTV', 'michaelayling', 'FuckingWhiteMan', 'PeterWilliamMos', 'StanleyIy_', 'Mario_DAloisio', 'cordina_chloe', 'Buzzard_Stubble', 'Samuel_Betz', 'BBCNews', 'theordinaryman2', 'sketchaganda', 'theultrafuture', 'LadyDurrant', 'Fight4UK', 'eureferendum', 'tomchapman16']"
190,R,"National Institute of Economic and Social Research & Senior Fellow, UK in a Changing Europe. Personal views only here.",jdportes,Jonathan Portes,London,No it's not. https://t.co/oh3ga6x1LW,"['DickGraceless', 'BBCNews', 'HannahHMMU', 'LeighBureauLtd', 'Williamw1', 'bengoldacre']"
191,L,Elected as a Member of the European Parliament and the Welsh Assembly to represent Wales for the UK Independence Party,NathanGillMEP,Nathan Gill,Wales,Just because you shout 'not true' does not mean it's a lie. #ProjectFear now becoming project spin!,"['RedHotSquirrel', 'JuliaHB1', 'oflynnmep', 'Vote_LeaveMedia', 'Mike_Fabricant', 'vote_leave', 'NadineDorriesMP', 'geraldhowarth', 'forbritain', 'MitchellGoldie', 'juliamacfarlane', 'TellRanil', 'A_VanderElst', 'pjpaton', 'LeaveEUOfficial', 'cmackinlay']"
192,R,"artist / designer / illustrator || Once was Yes Scotland's digital artist, now the seller of fabulous prints and things and maker of political graphics.",stewartbremner,Stewart Bremner,Edinburgh,Cognitive dissonance #EUref style. Sadly indicative of the leave argument. https://t.co/7k8lR6Foua,[]
193,R,"Digital marketer, mum. Politics, music, football, sports, travel, arts. #Labour #LFC #JFT96 #Orgreave #DontBuyTheSun. Not a fan of this #Tory govt.",SarahHenney,Sarah,Liverpool / New Brighton,"This Thurs is one of most important days in our country's history. Can you spare a few hours to help? #StrongerIn 
https://t.co/aOxesJ8HCx","['UKLabourIN', 'VKarayannis', 'KrustyAllslopp', 'ilesjazz', 'iangordon1959', 'joabbess', 'jemasters', 'jpublik', 'Simon_Hughes__', 'charliechar', 'RatherBAPear', 'JamesWillby', 'AlisonMeagher', 'richardmoore73', 'GazHughes78', 'DotDotDotDash', 'Priya_Nicole', 'Boz_MD', 'devo_uk', 'DailyMirror', 'OccupyLondon', 'WCXXII']"
194,L,You could of been anywhere in the world but you're here with me! I appreciate that #THFC #Brexit #VoteLeave,realdealdanny,Brexit Dan,The Dirty,I said it a long time ago the queen is for Brexit #voteleave https://t.co/YuSUvw3muW,"['500_mrg', 'RandolpheLibre', 'BillTenerife', 'robMDK', 'KeithBe1', 'jennyriarchi', 'DavethfcDf', 'ElizabethHurley', 'GrumpyDenier', 'CasMfd', 'gupta_james', 'MattPope123', 'adamhamdy', '2tweetaboutit', 'ChloeVotesLeave', 'vote_leave', 'ManeCasino', 'ellsbushh', 'SuzanneEvans1', 'EssexPR', 'DrTeckKhong', '2purplebricks']"
195,N,Basic Music Knowledge,panoplyuk,Paul,FP via DE,"In the queue for the #EUreferendum #greatdebate, gonna try &amp; live tweet it. Will probably sack it off after a couple, so enjoy while you can",[]
196,L,As a loyal citizen I have experience of and despise the self serving lying spineless MPs in the House of Traitors. Exposing the lies of the LIB/LAB/CON,HouseOfTraitors,Sir Dirty Politics,,"#bbcdebate

Shock horror, MUSLIM mayor wants open borders to allow mass unlimited migration of MUSLIMS into UK a

#VoteLeave","['KJ_S_', 'Arron_banks', 'DJack_Journo', 'muheedjeeran', 'MILLER_AJH', 'BavariaWatch', 'THFCGep', 'RuleBritanniaGB', 'DavethfcDf', 'JamesHarris1u', 'V5M1000', 'NathanGillMEP', 'MBAR1973', 'Mike_Fabricant', 'BrexitInJune', 'oflynnmep', 'payneblade3', 'JanZa70', 'lordloz', 'Queen_UK', 'LeaveEUOfficial', 'StrongerInTheEU', 'rorybroomfield', 'SuzanneEvans1', 'UKIPBroxtowe', 'ci247', 'RedHotSquirrel', 'conorburns_mp', 'CornwallTory', 'Ashley_Bullard', 'JamesC_McGregor', 'LondonCF', 'cmackinlay', 'Daily_Express', 'Holbornlolz', 'Vote_LeaveMedia', 'DomBardill', 'Shazza1uk', 'Stop_The_EU', 'SteveBakerHW', 'DavidTCDavies', 'Markit_tweet', 'KevinBirtles', 'ProtectthePope', 'IsabelOakeshott']"
197,L,"Gay guy. Long term neuro-muscular disability. #Brexit / HATE the EU. Ex Labour Party member, now  proudly with UKIP. Emmerdale fan. Sticky Toffee Pud lover.",TheHappyKipper,Mark C Edwards,"Cannock Chase, England","#EUref

OMG

DID I JUST SEE THAT? CAM FRANTICALLY WHEELED OUT TO GIVE DESPERATE SHORT SPEECH
WHAT A TOSSER

#BREXIT  https://t.co/qU8Xxm51vh","['DVATW', 'JuliaHB1', 'CllrBSilvester', 'MrBridger_HMP', 'SirGully', 'oflynnmep', 'PrisonPlanet']"
198,L,Aelod Seneddol Dwyrain Caerfyrddin a Dinefwr/Member of Parliament for Carmarthen East and Dinefwr #CymruAmByth,JonathanPlaid,Jonathan Edwards,Cymru / Wales,,"['DickGraceless', 'iwanwills']"
199,R,"NHS doctor, Private Eye's MD, @bbcrb presenter & comic. EDINBURGH FRINGE 2016 TICKETS ON SALE HERE https://tickets.edfringe.com/whats-on#fq=venue%3A43&q=Hammond",drphilhammond,Dr Phil Hammond,Bristol,I think @paulmasonnews nails who will hold the power and take back control post #Brexit https://t.co/xCBBYzh6Ox,"['bmj_company', 'CarolineLucas']"
200,L,"Socially liberal Conservative who is 
voting Leave in the EU referendum.",TheRedRag,Peter Thompson,France,"David Dimbleby explaining the running order of #EUref #BBCDebate - Economy, Immigration, Our place in the world. https://t.co/icrY1BCtHy","['LouiseMensch', 'DrTeckKhong', 'vote_leave', 'PaulKingCEO']"
